Date,Open,High,Low,Close,Adj Close,Volume
2015-08-19,6.198000,6.206000,6.105000,6.149000,6.149000,1159835
2015-08-20,6.150000,6.215000,6.043000,6.117000,6.117000,2183564
2015-08-21,6.000000,6.040000,5.920000,5.973000,5.973000,3091585
2015-08-24,5.820000,5.847000,5.518000,5.707000,5.707000,4430804
2015-08-25,5.791000,6.150000,5.713000,6.010000,6.010000,4242236
2015-08-26,6.010000,6.165000,5.910000,6.061000,6.061000,2049424
2015-08-27,6.177000,6.303000,6.128000,6.214000,6.214000,2521202
2015-08-28,6.212000,6.249000,6.140000,6.192000,6.192000,1508590
2015-08-31,6.150000,6.178000,6.078000,6.178000,6.178000,1073577
2015-09-01,6.094000,6.124000,5.901000,5.974000,5.974000,2284828
2015-09-02,6.000000,6.122000,5.947000,5.995000,5.995000,1774252
2015-09-03,6.109000,6.480000,6.105000,6.426000,6.426000,7971251
2015-09-04,6.384000,6.638000,6.350000,6.462000,6.462000,4026806
2015-09-07,6.537000,6.610000,6.300000,6.394000,6.394000,1740938
2015-09-08,6.421000,6.508000,6.390000,6.452000,6.452000,1212875
2015-09-09,6.610000,6.620000,6.396000,6.421000,6.421000,1797067
2015-09-10,6.356000,6.435000,6.273000,6.408000,6.408000,1892244
2015-09-11,6.462000,6.499000,6.388000,6.416000,6.416000,1351504
2015-09-14,6.420000,6.577000,6.416000,6.487000,6.487000,2173363
2015-09-15,6.517000,6.841000,6.516000,6.772000,6.772000,4799108
2015-09-16,6.824000,6.949000,6.690000,6.778000,6.778000,2797523
2015-09-17,6.810000,6.810000,6.570000,6.590000,6.590000,2887705
2015-09-18,6.537000,6.696000,6.463000,6.687000,6.687000,4128568
2015-09-21,6.658000,6.780000,6.650000,6.704000,6.704000,2023498
2015-09-22,6.694000,6.703000,6.280000,6.327000,6.327000,2721883
2015-09-23,6.296000,6.650000,6.296000,6.551000,6.551000,3300960
2015-09-24,6.551000,6.653000,6.350000,6.371000,6.371000,2081202
2015-09-25,6.487000,6.502000,6.287000,6.353000,6.353000,2135298
2015-09-28,6.346000,6.419000,6.062000,6.135000,6.135000,2735107
2015-09-29,6.013000,6.190000,5.993000,6.105000,6.105000,1941734
2015-09-30,6.227000,6.260000,6.175000,6.230000,6.230000,1568358
2015-10-01,6.248000,6.257000,5.951000,5.983000,5.983000,3424683
2015-10-02,6.002000,6.149000,5.993000,6.066000,6.066000,2564850
2015-10-05,6.119000,6.144000,6.010000,6.110000,6.110000,3185136
2015-10-06,6.111000,6.139000,6.016000,6.116000,6.116000,2214181
2015-10-07,6.088000,6.108000,5.811000,6.070000,6.070000,5611546
2015-10-08,6.148000,6.284000,6.002000,6.281000,6.281000,3268349
2015-10-09,6.341000,6.542000,6.260000,6.463000,6.463000,3983157
2015-10-12,6.510000,6.641000,6.473000,6.550000,6.550000,2319331
2015-10-13,6.544000,6.578000,6.420000,6.468000,6.468000,1215631
2015-10-14,6.422000,6.493000,6.309000,6.336000,6.336000,1732164
2015-10-15,6.379000,6.417000,6.305000,6.344000,6.344000,1752666
2015-10-16,6.370000,6.530000,6.352000,6.381000,6.381000,2578220
