Date,Open,High,Low,Close,Adj Close,Volume
2015-08-19,70.610001,70.769997,69.739998,69.900002,64.909874,897744
2015-08-20,69.599998,69.809998,67.779999,68.080002,63.219803,639052
2015-08-21,66.720001,68.110001,65.779999,65.779999,61.084003,1033492
2015-08-24,64.139999,64.239998,60.189999,63.330002,58.808903,2609156
2015-08-25,64.169998,66.750000,64.059998,65.000000,60.359684,2036023
2015-08-26,64.400002,66.519997,63.759998,64.580002,59.969669,1874939
2015-08-27,66.110001,67.839996,65.830002,67.260002,62.458340,1564187
2015-08-28,67.360001,67.900002,65.480003,67.150002,62.356194,1352116
2015-08-31,66.820000,69.769997,66.699997,69.620003,64.649864,1844768
2015-09-01,68.800003,69.800003,66.610001,68.000000,63.145504,1874346
2015-09-02,68.250000,68.860001,66.750000,66.860001,62.086906,1753782
2015-09-03,67.510002,68.860001,66.949997,68.290001,63.414822,1500324
2015-09-04,67.500000,67.900002,66.260002,66.639999,61.882607,1318119
2015-09-07,67.269997,67.400002,66.410004,66.500000,61.752590,638007
2015-09-08,66.699997,67.959999,66.400002,66.690002,61.929043,1422425
2015-09-09,68.000000,68.010002,67.360001,67.389999,62.579060,1217656
2015-09-10,67.029999,67.739998,66.419998,66.949997,62.170471,1062825
2015-09-11,67.239998,67.349998,65.760002,66.879997,62.105469,894554
2015-09-14,67.059998,67.720001,66.620003,66.849998,62.077606,975738
2015-09-15,67.529999,68.500000,66.860001,68.370003,63.489101,1259559
2015-09-16,68.589996,69.480003,67.870003,69.290001,64.343422,1367341
2015-09-17,69.330002,71.059998,68.910004,70.260002,65.244171,1720886
2015-09-18,69.699997,71.010002,68.410004,69.599998,64.631287,21750805
2015-09-21,69.250000,70.320000,69.190002,69.629997,64.659149,2051802
2015-09-22,69.580002,69.750000,67.669998,68.129997,63.266232,1732993
2015-09-23,68.129997,68.540001,67.550003,68.089996,63.229076,1602297
2015-09-24,67.919998,68.010002,65.440002,65.949997,61.241863,2178131
2015-09-25,67.099998,68.779999,66.620003,67.980003,63.126945,1800595
2015-09-28,67.680000,68.110001,66.870003,67.510002,62.690491,1877960
