Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,3.700000,3.750000,3.640000,3.700000,3.492520,7902000
2015-01-05,3.700000,3.940000,3.700000,3.830000,3.615230,17184000
2015-01-06,3.850000,3.980000,3.850000,3.950000,3.728501,30562000
2015-01-07,4.060000,4.170000,3.990000,4.080000,3.851210,34264000
2015-01-08,4.060000,4.100000,3.960000,4.050000,3.822893,13714000
2015-01-09,4.090000,4.090000,3.960000,4.010000,3.785136,13244000
2015-01-12,4.050000,4.050000,3.930000,3.930000,3.709622,8242000
2015-01-13,4.000000,4.110000,3.940000,4.010000,3.785136,7524000
2015-01-14,3.960000,4.040000,3.910000,4.000000,3.775697,9459000
2015-01-15,4.000000,4.000000,3.900000,3.900000,3.681304,11595769
2015-01-16,3.850000,3.960000,3.840000,3.860000,3.643548,8426000
2015-01-19,3.860000,3.860000,3.560000,3.600000,3.398127,17964000
2015-01-20,3.600000,3.780000,3.650000,3.770000,3.558594,5993336
2015-01-21,3.780000,3.950000,3.770000,3.910000,3.690744,12611000
2015-01-22,3.880000,3.950000,3.880000,3.930000,3.709622,9792000
2015-01-23,3.950000,3.980000,3.910000,3.920000,3.700183,6598000
2015-01-26,3.900000,4.070000,3.850000,4.000000,3.775697,17340897
2015-01-27,4.000000,4.000000,3.820000,3.830000,3.615230,7158000
2015-01-28,3.830000,3.900000,3.800000,3.870000,3.652987,5250000
2015-01-29,3.930000,3.930000,3.820000,3.890000,3.671865,5486000
2015-01-30,3.880000,3.980000,3.870000,3.930000,3.709622,10327000
2015-02-02,3.920000,4.010000,3.880000,3.970000,3.747379,20276170
2015-02-03,3.930000,3.950000,3.660000,3.710000,3.501959,25468000
2015-02-04,3.730000,3.760000,3.600000,3.740000,3.530277,17740000
2015-02-05,3.820000,3.880000,3.710000,3.790000,3.577473,16711000
2015-02-06,3.750000,3.750000,3.610000,3.650000,3.445324,7676000
2015-02-09,3.600000,3.630000,3.530000,3.560000,3.360370,12774000
2015-02-10,3.580000,3.600000,3.520000,3.560000,3.360370,11048000
2015-02-11,3.600000,3.720000,3.560000,3.690000,3.483080,9831000
2015-02-12,3.730000,3.740000,3.610000,3.650000,3.445324,8490000
2015-02-13,3.680000,3.680000,3.590000,3.610000,3.407567,9156000
2015-02-16,3.580000,3.640000,3.550000,3.580000,3.379249,5017000
2015-02-17,3.580000,3.740000,3.580000,3.640000,3.435884,9766000
2015-02-18,3.660000,3.710000,3.620000,3.700000,3.492520,3478000
2015-02-23,3.700000,3.790000,3.690000,3.710000,3.501959,11780000
2015-02-24,3.740000,3.800000,3.730000,3.750000,3.539716,9998000
2015-02-25,3.770000,3.770000,3.690000,3.720000,3.511398,5240000
2015-02-26,3.690000,3.760000,3.670000,3.750000,3.539716,11754000
2015-02-27,3.780000,3.800000,3.690000,3.700000,3.492520,8640000
2015-03-02,3.750000,3.750000,3.690000,3.720000,3.511398,3835000
2015-03-03,3.760000,3.760000,3.600000,3.650000,3.445324,9494000
2015-03-04,3.660000,3.660000,3.580000,3.590000,3.388688,7996000
2015-03-05,3.550000,3.600000,3.400000,3.450000,3.256538,21050000
2015-03-06,3.470000,3.530000,3.440000,3.470000,3.275417,6492000
2015-03-09,3.470000,3.500000,3.420000,3.500000,3.303735,4890000
2015-03-10,3.470000,3.600000,3.450000,3.520000,3.322613,5852000
2015-03-11,3.490000,3.720000,3.490000,3.560000,3.360370,12958000
2015-03-12,3.600000,3.680000,3.560000,3.610000,3.407567,5986000
2015-03-13,3.620000,3.900000,3.620000,3.820000,3.605791,19790000
2015-03-16,3.900000,3.950000,3.840000,3.940000,3.719061,14396200
2015-03-17,3.960000,4.190000,3.940000,4.150000,3.917285,38071000
2015-03-18,4.150000,4.240000,4.060000,4.090000,3.860650,32586981
2015-03-19,4.100000,4.130000,4.000000,4.090000,3.860650,9997000
2015-03-20,4.120000,4.180000,4.050000,4.160000,3.926725,11496000
2015-03-23,4.080000,4.140000,4.050000,4.110000,3.879529,11173702
2015-03-24,4.100000,4.220000,4.060000,4.180000,3.945604,8864000
2015-03-25,4.170000,4.190000,4.080000,4.160000,3.926725,5008000
2015-03-26,4.170000,4.210000,4.070000,4.180000,3.945604,15182764
2015-03-27,4.170000,4.230000,4.110000,4.190000,3.955043,9656552
2015-03-30,4.290000,4.910000,4.290000,4.880000,4.606351,47881752
2015-03-31,4.880000,5.120000,4.820000,4.930000,4.653546,32658300
2015-04-01,4.860000,5.120000,4.860000,5.050000,4.766818,40027000
2015-04-02,5.010000,5.200000,4.900000,5.200000,4.908405,28426000
2015-04-08,5.680000,6.070000,5.350000,5.780000,5.455883,57877346
2015-04-09,6.300000,6.800000,5.330000,5.910000,5.578592,58790145
2015-04-10,5.910000,5.910000,5.910000,5.910000,5.578592,0
2015-04-13,5.910000,5.910000,5.910000,5.910000,5.578592,0
2015-04-14,5.910000,5.910000,5.910000,5.910000,5.578592,0
2015-04-15,5.910000,5.910000,5.910000,5.910000,5.578592,0
2015-04-16,5.910000,5.910000,5.910000,5.910000,5.578592,0
2015-04-17,5.910000,5.910000,5.910000,5.910000,5.578592,0
2015-04-20,5.910000,5.910000,5.910000,5.910000,5.578592,0
2015-04-21,5.910000,5.910000,5.910000,5.910000,5.578592,0
2015-04-22,5.910000,5.910000,5.910000,5.910000,5.578592,0
2015-04-23,5.910000,5.910000,5.910000,5.910000,5.578592,0
2015-04-24,6.600000,6.650000,5.650000,6.180000,5.833452,106746089
2015-04-27,6.240000,6.260000,5.780000,6.000000,5.663546,64550359
2015-04-28,6.010000,6.090000,5.820000,5.830000,5.503078,36489404
2015-04-29,5.850000,5.950000,5.710000,5.730000,5.408686,27852000
2015-04-30,5.820000,6.100000,5.800000,5.990000,5.654106,45531000
2015-05-04,6.050000,6.100000,5.900000,5.960000,5.625788,14645404
2015-05-05,6.100000,6.100000,5.540000,5.720000,5.399246,30084106
2015-05-06,5.600000,5.800000,5.380000,5.400000,5.097191,23569106
2015-05-07,5.390000,5.450000,5.020000,5.180000,4.889527,36584000
2015-05-08,5.400000,5.670000,5.300000,5.650000,5.333172,27172319
2015-05-11,5.830000,5.850000,5.460000,5.600000,5.285975,17264255
2015-05-12,5.550000,5.850000,5.550000,5.800000,5.474761,18654952
2015-05-13,5.800000,5.800000,5.220000,5.590000,5.276536,10700261
2015-05-14,5.580000,5.730000,5.480000,5.560000,5.248219,13149003
2015-05-15,5.630000,5.630000,5.460000,5.540000,5.229340,13162000
2015-05-18,5.590000,5.590000,5.420000,5.460000,5.153826,7232000
2015-05-19,5.520000,5.620000,5.380000,5.480000,5.172705,28760255
2015-05-20,5.610000,5.850000,5.560000,5.820000,5.493639,37890835
2015-05-21,5.790000,5.920000,5.650000,5.780000,5.455883,10685000
2015-05-22,5.750000,5.800000,5.640000,5.690000,5.370929,11440000
2015-05-26,5.880000,6.200000,5.880000,6.070000,5.729620,23739734
2015-05-27,6.120000,6.320000,6.090000,6.200000,5.852330,33202404
2015-05-28,6.300000,6.300000,5.550000,5.870000,5.540835,18443404
2015-05-29,5.860000,6.100000,5.840000,6.040000,5.701303,14950000
2015-06-01,5.960000,6.160000,5.760000,5.920000,5.588032,27446800
2015-06-02,5.970000,6.070000,5.890000,6.000000,5.663546,12824888
2015-06-03,6.000000,6.130000,5.900000,5.950000,5.616349,11092000
2015-06-04,6.060000,6.160000,5.870000,6.130000,5.786255,23822000
2015-06-05,6.130000,6.200000,5.970000,6.100000,5.757938,12691215
2015-06-08,6.130000,6.560000,5.940000,6.430000,6.069433,31795700
2015-06-09,6.300000,6.430000,6.060000,6.170000,5.824012,21779095
2015-06-10,6.190000,6.560000,6.020000,6.280000,5.927844,27748160
2015-06-11,6.300000,6.390000,6.030000,6.090000,5.748498,15380425
2015-06-12,6.090000,6.180000,6.050000,6.180000,5.833452,8279000
2015-06-15,6.050000,6.470000,6.010000,6.290000,5.937283,23303127
2015-06-16,6.300000,6.420000,5.950000,5.960000,5.625788,27624730
2015-06-17,5.990000,6.210000,5.960000,6.210000,5.861769,10071500
2015-06-18,6.300000,6.890000,6.220000,6.500000,6.135508,59307500
2015-06-19,6.500000,6.770000,6.480000,6.620000,6.248778,26324649
2015-06-22,6.450000,6.650000,6.450000,6.620000,6.248778,9904000
2015-06-23,6.630000,7.200000,6.630000,7.060000,6.664105,19870000
2015-06-24,7.060000,7.560000,7.010000,7.100000,6.701862,24325930
2015-06-25,7.210000,7.250000,6.760000,7.030000,6.635788,25558400
2015-06-26,6.840000,6.950000,6.460000,6.610000,6.239340,23576000
2015-06-29,6.700000,6.780000,5.960000,6.150000,5.805133,43565000
2015-06-30,6.180000,6.560000,6.010000,6.490000,6.126068,22294000
2015-07-02,6.480000,6.480000,6.110000,6.150000,5.805133,31802000
2015-07-03,6.120000,6.390000,5.980000,6.160000,5.814573,38388000
2015-07-06,6.340000,6.500000,4.900000,5.810000,5.484200,54286000
2015-07-07,5.760000,6.060000,5.420000,5.550000,5.238780,75210020
2015-07-08,5.400000,5.400000,4.200000,5.150000,4.861210,96343964
2015-07-09,5.250000,6.230000,5.240000,5.950000,5.616349,44088086
2015-07-10,5.900000,6.420000,5.900000,6.100000,5.757938,39297500
2015-07-13,6.020000,6.490000,6.020000,6.460000,6.097751,24205000
2015-07-14,6.460000,6.460000,6.150000,6.210000,5.861769,37597000
2015-07-15,6.200000,6.270000,5.820000,5.850000,5.521957,14208000
2015-07-16,6.050000,6.600000,5.990000,6.400000,6.041115,83230400
2015-07-17,6.550000,6.980000,6.480000,6.820000,6.437563,32734000
2015-07-20,6.940000,6.980000,6.780000,6.930000,6.541395,18928121
2015-07-21,6.900000,7.070000,6.830000,7.060000,6.664105,24207980
2015-07-22,7.010000,7.060000,6.750000,6.900000,6.513077,22048000
2015-07-23,6.900000,6.900000,6.900000,6.900000,6.513077,0
2015-07-24,6.900000,6.900000,6.900000,6.900000,6.513077,0
2015-07-27,6.900000,6.900000,6.900000,6.900000,6.513077,0
2015-07-28,6.240000,7.020000,6.180000,6.600000,6.229900,64608000
2015-07-29,6.750000,6.920000,6.410000,6.470000,6.107190,39078000
2015-07-30,6.570000,6.580000,6.150000,6.250000,5.899527,27864000
2015-07-31,6.240000,6.390000,6.130000,6.230000,5.880648,22955950
2015-08-03,6.250000,6.380000,6.200000,6.270000,5.918405,11246000
2015-08-04,6.380000,6.680000,6.260000,6.610000,6.239340,29349972
2015-08-05,6.540000,6.690000,6.520000,6.560000,6.192142,14070000
2015-08-06,6.580000,6.580000,6.400000,6.480000,6.116629,11264000
2015-08-07,6.470000,6.650000,6.350000,6.410000,6.050554,12944000
2015-08-10,6.520000,6.720000,6.470000,6.530000,6.163826,23014000
2015-08-11,6.580000,6.580000,5.420000,5.460000,5.153826,117197300
2015-08-12,5.230000,5.330000,4.750000,5.260000,4.965042,138601900
2015-08-13,5.400000,5.600000,5.280000,5.330000,5.031116,38910000
2015-08-14,5.560000,5.600000,5.250000,5.380000,5.078312,37942300
2015-08-17,5.460000,5.800000,5.180000,5.520000,5.210461,48306000
2015-08-18,5.470000,5.530000,4.990000,5.090000,4.804575,40965200
2015-08-19,5.000000,5.080000,4.910000,4.990000,4.710181,29052000
2015-08-20,4.900000,5.000000,4.650000,4.670000,4.408126,37970000
2015-08-21,4.430000,4.570000,4.360000,4.510000,4.257098,42778400
