Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,3.720000,3.720000,3.580000,3.630000,3.387621,23825000
2015-01-05,3.750000,3.920000,3.670000,3.890000,3.630261,37747000
2015-01-06,3.900000,4.100000,3.900000,4.050000,3.779578,47505252
2015-01-07,4.180000,4.260000,4.030000,4.190000,3.910229,40439000
2015-01-08,4.120000,4.190000,4.030000,4.160000,3.882233,21404000
2015-01-09,4.200000,4.200000,4.060000,4.130000,3.854236,16666400
2015-01-12,4.120000,4.180000,3.970000,4.040000,3.770245,20556000
2015-01-13,4.180000,4.180000,4.010000,4.020000,3.751581,17257000
2015-01-14,4.070000,4.150000,4.020000,4.130000,3.854236,21335000
2015-01-15,4.040000,4.100000,3.970000,4.000000,3.732916,15139124
2015-01-16,4.000000,4.040000,3.910000,3.960000,3.695587,16340000
2015-01-19,3.950000,3.950000,3.650000,3.790000,3.536938,30934000
2015-01-20,3.760000,4.020000,3.760000,3.950000,3.686255,13793000
2015-01-21,4.060000,4.150000,4.000000,4.100000,3.826239,19558500
2015-01-22,4.120000,4.180000,4.120000,4.120000,3.844903,20565000
2015-01-23,4.200000,4.210000,4.150000,4.170000,3.891565,19502000
2015-01-26,4.220000,4.300000,4.180000,4.250000,3.966224,38523500
2015-01-27,4.260000,4.270000,3.980000,4.020000,3.751581,23557701
2015-01-28,4.030000,4.100000,3.960000,4.020000,3.751581,14086409
2015-01-29,4.110000,4.110000,4.010000,4.060000,3.788910,10141000
2015-01-30,4.100000,4.220000,4.040000,4.180000,3.900898,24140000
2015-02-02,4.130000,4.130000,4.030000,4.050000,3.779578,35068140
2015-02-03,3.950000,4.010000,3.760000,3.800000,3.546270,46159000
2015-02-04,3.800000,3.830000,3.700000,3.810000,3.555603,20364000
2015-02-05,3.950000,4.040000,3.850000,3.920000,3.658258,32442000
2015-02-06,3.880000,3.880000,3.650000,3.720000,3.471612,25592000
2015-02-09,3.760000,3.760000,3.650000,3.660000,3.415618,17790000
2015-02-10,3.630000,3.680000,3.540000,3.630000,3.387621,25687000
2015-02-11,3.670000,3.730000,3.660000,3.700000,3.452948,17413000
2015-02-12,3.750000,3.820000,3.700000,3.730000,3.480944,13382000
2015-02-13,3.700000,3.710000,3.660000,3.670000,3.424951,9006000
2015-02-16,3.630000,3.650000,3.570000,3.600000,3.359624,12086600
2015-02-17,3.600000,3.770000,3.600000,3.730000,3.480944,8066016
2015-02-18,3.720000,3.800000,3.700000,3.750000,3.499609,5113000
2015-02-23,3.750000,3.880000,3.750000,3.760000,3.508941,10459249
2015-02-24,3.800000,3.880000,3.770000,3.810000,3.555603,14771055
2015-02-25,3.820000,3.870000,3.780000,3.790000,3.536938,12380000
2015-02-26,3.730000,3.930000,3.730000,3.910000,3.648926,12712000
2015-02-27,3.940000,3.950000,3.850000,3.870000,3.611596,7607000
2015-03-02,3.880000,3.930000,3.820000,3.840000,3.583600,6866708
2015-03-03,3.810000,3.850000,3.730000,3.750000,3.499609,8038774
2015-03-04,3.780000,3.780000,3.650000,3.650000,3.406286,20239198
2015-03-05,3.640000,3.670000,3.490000,3.530000,3.294299,15420000
2015-03-06,3.530000,3.650000,3.530000,3.600000,3.359624,8696000
2015-03-09,3.610000,3.650000,3.560000,3.620000,3.378289,10589600
2015-03-10,3.640000,3.760000,3.570000,3.680000,3.434283,14886000
2015-03-11,3.700000,3.950000,3.690000,3.880000,3.620929,34991860
2015-03-12,3.860000,3.950000,3.860000,3.890000,3.630261,20786500
2015-03-13,3.960000,4.190000,3.920000,4.150000,3.872900,47207000
2015-03-16,4.190000,4.300000,4.130000,4.260000,3.975556,29867055
2015-03-17,4.260000,4.700000,4.260000,4.690000,4.376844,60953500
2015-03-18,4.630000,4.860000,4.500000,4.620000,4.311518,35131342
2015-03-19,4.590000,4.610000,4.420000,4.550000,4.246192,28680092
2015-03-20,4.510000,4.670000,4.510000,4.630000,4.320850,23093400
2015-03-23,4.520000,4.600000,4.400000,4.540000,4.236859,19581767
2015-03-24,4.440000,4.750000,4.440000,4.720000,4.404841,19859500
2015-03-25,4.680000,4.740000,4.570000,4.710000,4.395509,13922601
2015-03-26,4.730000,4.810000,4.600000,4.730000,4.414173,36019841
2015-03-27,4.730000,4.730000,4.530000,4.690000,4.376844,14082346
2015-03-30,4.900000,5.500000,4.900000,5.390000,5.030104,71373263
2015-03-31,5.450000,5.870000,5.280000,5.450000,5.086098,65535988
2015-04-01,5.550000,6.050000,5.550000,5.990000,5.590042,59910200
2015-04-02,5.860000,6.280000,5.640000,6.140000,5.730027,81672400
2015-04-08,6.750000,7.860000,6.750000,7.290000,6.803239,87068440
2015-04-09,7.550000,8.380000,7.300000,7.600000,7.092540,93859856
2015-04-10,7.600000,7.890000,7.300000,7.850000,7.325848,59742939
2015-04-13,8.020000,8.170000,7.570000,7.730000,7.213861,69771231
2015-04-14,7.600000,7.770000,7.160000,7.280000,6.793908,47883395
2015-04-15,7.080000,7.700000,7.080000,7.270000,6.784575,40167826
2015-04-16,7.200000,7.410000,6.850000,7.020000,6.551268,57802241
2015-04-17,7.160000,7.540000,7.150000,7.390000,6.896563,47278758
2015-04-20,7.480000,7.920000,7.220000,7.500000,6.999218,68716200
2015-04-21,7.650000,7.740000,7.400000,7.700000,7.185863,35847731
2015-04-22,7.990000,8.200000,7.890000,8.010000,7.475165,51242000
2015-04-23,8.010000,8.120000,7.600000,7.690000,7.176531,41267107
2015-04-24,7.540000,7.790000,7.330000,7.760000,7.241858,39017788
2015-04-27,7.860000,8.020000,7.620000,8.020000,7.484497,40314255
2015-04-28,8.030000,8.170000,7.770000,7.790000,7.269854,22947672
2015-04-29,7.790000,7.840000,7.610000,7.640000,7.129870,12537534
2015-04-30,7.620000,7.730000,7.410000,7.590000,7.083209,31129669
2015-05-04,7.600000,7.690000,7.310000,7.380000,6.887230,24998985
2015-05-05,7.500000,7.500000,7.000000,7.120000,6.644590,28755158
2015-05-06,7.030000,7.220000,6.700000,6.750000,6.299296,34302837
2015-05-07,6.720000,6.880000,6.320000,6.460000,6.028659,36298000
2015-05-08,6.660000,7.190000,6.660000,7.170000,6.691253,25346775
2015-05-11,7.370000,7.370000,7.000000,7.180000,6.700584,13412494
2015-05-12,7.110000,7.540000,7.110000,7.340000,6.849901,16549713
2015-05-13,7.180000,7.290000,7.020000,7.040000,6.569932,33080659
2015-05-14,7.120000,7.270000,6.970000,7.050000,6.579265,23874529
2015-05-15,7.100000,7.270000,7.030000,7.170000,6.691253,15246000
2015-05-18,7.400000,7.400000,7.120000,7.280000,6.793908,13350000
2015-05-19,7.320000,7.540000,7.150000,7.470000,6.971220,18138460
2015-05-20,7.750000,7.860000,7.590000,7.710000,7.195196,29452090
2015-05-21,7.560000,7.690000,7.560000,7.620000,7.111206,15116000
2015-05-22,7.600000,7.660000,7.410000,7.580000,7.073877,20369000
2015-05-26,8.000000,8.200000,7.810000,7.950000,7.419171,31475195
2015-05-27,8.180000,8.180000,7.690000,7.960000,7.428504,34508022
2015-05-28,8.020000,8.100000,7.350000,7.520000,7.017882,36100576
2015-05-29,7.700000,8.000000,7.500000,7.950000,7.419171,139928506
2015-06-01,7.860000,8.000000,7.690000,7.840000,7.316515,43009091
2015-06-02,7.720000,7.870000,7.610000,7.660000,7.148534,17045989
2015-06-03,7.750000,8.100000,7.710000,7.760000,7.241858,20960100
2015-06-04,8.080000,8.080000,7.630000,7.950000,7.419171,29462759
2015-06-05,7.900000,8.040000,7.800000,8.000000,7.465832,14525754
2015-06-08,8.030000,8.790000,7.820000,8.590000,8.016438,58974652
