;trand;risk;share;money_share;expected_money_profit;expected_risk_money_profit
lufthansa;9.278174964290542;5.309063530954607;0.14;1400;12989;7432
air_france;8.835450273419264;6.216060949338073;0.14;1400;12369;8702
rolls-royce;7.610338945481722;9.009707182371649;0.12;1200;9132;10811
iag;5.929727473600848;3.216986231067017;0.09;900;5336;2895
all_nippon_airways;4.631501161544036;4.317002669718789;0.07;700;3242;3021
united_airlines;4.568714836934422;4.254365953430538;0.07;700;3198;2978
china_eastern_airlines;4.362445770464738;2.87247526286144;0.07;700;3053;2010
delta_air_lines;3.994524402637097;3.6471630027448785;0.06;600;2396;2188
boeing;3.423310360788303;3.0153172165051734;0.05;500;1711;1507
china_southern_airlines;3.350907195610281;1.4806925490027558;0.05;500;1675;740
southwest;2.799074618497997;2.2015609934175338;0.04;400;1119;880
airbus;2.1040754964114567;1.2085641133419889;0.03;300;631;362
raytheon_technologies;1.6916835127657357;1.3443792339393095;0.03;300;507;403
safran;1.0935884092411299;0.9071632459803438;0.02;200;218;181
bae_systems;0.39568541192606377;-0.17811588628738745;0.01;100;39;-17
northrop_grumman;0.22297283168409823;0.41157279242477807;0.0;0;0;0
lockheed_martin;0.02919205810767387;-0.325047546597376;0.0;0;0;0
